FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,464,0.163,,0.541,26.27,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,25,5.22,,321,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,50,2.25,,69.3,11.11,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,100,2.37,,36.5,11.71,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,200,2.47,,19.0,12.20,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,300,2.55,,13.1,12.56,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,400,2.57,,9.87,12.66,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,500,2.71,,8.33,13.36,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,700,2.46,,5.41,12.15,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,1000,2.89,,4.44,14.25,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,EL2,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,25,6.83,,421,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,98,0.319,,5.02,60.18,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,222,0.0321,,0.223,6.06,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,336,0.0330,,0.151,6.22,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,468,0.146,,0.480,27.54,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,25,6.63,,408,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,97,0.309,,4.87,59.05,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,219,0.0278,,0.195,5.31,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,333,0.0349,,0.161,6.68,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,470,0.151,,0.496,28.96,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,25,6.54,,402,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,97,0.354,,5.59,60.15,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,218,0.0298,,0.210,5.06,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,335,0.0380,,0.175,6.46,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,470,0.167,,0.546,28.33,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,25,6.28,,387,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,98,0.311,,4.91,56.90,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,218,0.0299,,0.211,5.47,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,334,0.0353,,0.163,6.47,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,471,0.149,,0.486,27.23,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,2447,0.0215,,0.0135,3.93,,Peak outside of Sizing Range
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,25,6.37,,392,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,97,0.298,,4.74,57.58,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,215,0.0313,,0.224,6.06,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,334,0.0364,,0.168,7.04,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,469,0.152,,0.498,29.32,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,25,5.67,,349,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,96,0.284,,4.56,54.99,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,211,0.0259,,0.188,5.00,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,328,0.0378,,0.178,7.31,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,367,0.0202,,0.0848,3.91,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,462,0.149,,0.495,28.79,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,25,5.90,,363,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,96,0.347,,5.54,61.95,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,213,0.0290,,0.210,5.19,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,331,0.0372,,0.173,6.65,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,466,0.147,,0.485,26.21,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,25,5.87,,361,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,96,0.312,,5.00,55.91,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,212,0.0405,,0.295,7.26,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,330,0.0414,,0.193,7.41,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,367,0.0191,,0.0802,3.43,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,464,0.145,,0.481,25.99,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H3,LPAManualBuild1_Hyper,1500,6.50,6.50,6.67,,,Upper Marker
